"cueanexo","cuise","nombre","departamento","municipio","sector","ambito","oferta","matricula"
"540000901","1515","Aula Sat. Nº 01: ""B.O.P. Nº 15""","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Urbano","Común - Secundaria Completa req. 7 años ","133"
"540001000","0227","ESC. Nº 227","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Rural Disperso","Común - Primaria de 7 años ","104"
"540001100","0524","ESC. Nº 524: ""VIRREY PEDRO DE CEBALLOS""","IGUAZU","PUERTO ESPERANZA","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","204"
"540001200","0905","INST. EDUCATIVO ""LOS LAPACHOS""","IGUAZU","PUERTO ESPERANZA","Privado","Urbano","Común - Jardín de infantes ","77"
"540001200","0905","INST. EDUCATIVO ""LOS LAPACHOS""","IGUAZU","PUERTO ESPERANZA","Privado","Urbano","Común - Primaria de 7 años ","295"
"540001200","0905","INST. EDUCATIVO ""LOS LAPACHOS""","IGUAZU","PUERTO ESPERANZA","Privado","Urbano","Común - Secundaria Completa req. 7 años ","227"
"540001300","0583","ESC. Nº 583: ""CAPITÁN DE CORBETA: CARLOS MARIA ZUBIZARRETA""","IGUAZU","PUERTO ESPERANZA","Estatal","Urbano","Común - Primaria de 7 años ","447"
"540001500","1414","ESC. ADULTOS Nº 14","IGUAZU","PUERTO ESPERANZA","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","27"
"540001500","1414","ESC. ADULTOS Nº 14","IGUAZU","PUERTO ESPERANZA","Estatal","Urbano","Adultos - Primaria ","71"
"540001600","0756","ESC. Nº 756","IGUAZU","PUERTO ESPERANZA","Estatal","Urbano","Común - Primaria de 7 años ","390"
"540001700","0711","ESC. Nº 711","IGUAZU","PUERTO IGUAZU","Estatal","Urbano","Común - Primaria de 7 años ","163"
"540001800","0223","ESC. Nº 223","APOSTOLES","APOSTOLES","Estatal","Rural Disperso","Común - Primaria de 7 años ","30"
"540001900","0041","ESC. Nº 41","APOSTOLES","APOSTOLES","Estatal","Urbano","Común - Primaria de 7 años ","442"
"540002000","0236","ESC. Nº 236","APOSTOLES","APOSTOLES","Estatal","Urbano","Común - Primaria de 7 años ","478"
"540002100","0071","ESC. Nº 71: ""MARIA AUXILIADORA""","APOSTOLES","APOSTOLES","Estatal","Urbano","Común - Primaria de 7 años ","164"
"540002300","1566","ESC. DE COMERCIO Nº 14","APOSTOLES","APOSTOLES","Estatal","Urbano","Común - Secundaria Completa req. 7 años ","108"
"540002400","0638","ESC. Nº 638: ""VIALIDAD PROVINCIAL"" (F.J.C.)","APOSTOLES","APOSTOLES","Estatal","Urbano","Común - Primaria de 7 años ","205"
"540002600","0625","ESC. Nº 625","APOSTOLES","APOSTOLES","Estatal","Rural Disperso","Común - Primaria de 7 años ","25"
"540002603","0625","Aula Sat. Nº 03: ""ESC. Nº 625"" (Ex Esc. Nº 872)","APOSTOLES","APOSTOLES","Estatal","Rural","Común - Jardín de infantes ","3"
"540002603","0625","Aula Sat. Nº 03: ""ESC. Nº 625"" (Ex Esc. Nº 872)","APOSTOLES","APOSTOLES","Estatal","Rural","Común - Primaria de 7 años ","4"
"540002700","0477","ESC. Nº 477: ""ALTO URUGUAY""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","52"
"540002800","0516","ESC. Nº 516: ""PROSPERO G. ALEMANDRI""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","161"
"540002900","0538","ESC. Nº 538: ""FEDERICO MAYNTZHUSEN""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Jardín de infantes ","18"
"540002900","0538","ESC. Nº 538: ""FEDERICO MAYNTZHUSEN""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","77"
"540003000","0599","ESC. Nº 599","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","72"
"540003100","0400","ESC. Nº 400","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","89"
"540003101","0400","Aula Sat. Nº 01: ""ESC. Nº 400""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","42"
"540003200","0078","ESC. Nº 78","APOSTOLES","AZARA","Estatal","Rural Disperso","Común - Primaria de 7 años ","12"
"540003300","0121","ESC. Nº 121","APOSTOLES","AZARA","Estatal","Rural Disperso","Común - Primaria de 7 años ","18"
"540003400","0089","ESC. Nº 89: ""PREFECTURA NAVAL ARGENTINA""","CAPITAL","FACHINAL","Estatal","Rural Disperso","Común - Primaria de 7 años ","54"
"540003600","1435","ESC. ADULTOS Nº 33","CAPITAL","POSADAS","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","193"
"540003600","1435","ESC. ADULTOS Nº 33","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","57"
"540003700","1436","ESC. ADULTOS Nº 34","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","77"
"540003700","1436","ESC. ADULTOS Nº 34","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Adultos - Primaria ","46"
"540003702","1436","Aula Sat. Nº 02: ""ESC. ADULTOS Nº 34""","25 DE MAYO","ALBA POSSE","Estatal","Rural","Adultos - Primaria ","12"
"540003800","1702","E.F.A. ""PADRE ANTONIO SEPP""","25 DE MAYO","25 DE MAYO","Privado","Rural","Adultos-Formación Profesional/Capacitación Laboral","26"
"540003800","1702","E.F.A. ""PADRE ANTONIO SEPP""","25 DE MAYO","25 DE MAYO","Privado","Rural","Común - Secundaria Completa req. 7 años ","92"
"540003900","0239","ESC. Nº 239: ""GRANADEROS DE SAN MARTIN""","25 DE MAYO","ALBA POSSE","Estatal","Urbano","Común - Primaria de 7 años ","322"
"540004000","0295","ESC. Nº 295: ""DR.SABATO ROMANO""","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","145"
"540004100","0614","ESC. Nº 614: ""ARTURO M. BAS"" (F.J.C.)","25 DE MAYO","ALBA POSSE","Estatal","Urbano","Común - Primaria de 7 años ","99"
"540004200","0802","INST. SUP. ""CEFERINO NAMUNCURA""","GUARANI","SAN VICENTE","Privado","Urbano","Común - Jardín de infantes ","168"
"540004200","0802","INST. SUP. ""CEFERINO NAMUNCURA""","GUARANI","SAN VICENTE","Privado","Urbano","Común - Primaria de 7 años ","400"
"540004200","0802","INST. SUP. ""CEFERINO NAMUNCURA""","GUARANI","SAN VICENTE","Privado","Urbano","Común - Secundaria Completa req. 7 años ","270"
"540004400","0374","ESC. Nº 374: ""PICADA EL DORADITO""","GUARANI","SAN VICENTE","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","159"
"540004401","0374","Aula Sat. Nº 01: ""ESC. Nº 374""","GUARANI","SAN VICENTE","Estatal","Rural Disperso","Común - Primaria de 7 años ","14"
"540004403","0374","Aula Sat. Nº 03: ""ESC. Nº 374""","GUARANI","SAN VICENTE","Estatal","Urbano","Común - Primaria de 7 años ","39"
"540004500","0562","ESC. Nº 562","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Jardín de infantes ","15"
"540004500","0562","ESC. Nº 562","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","49"
"540004700","0351","ESC. Nº 351","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","63"
"540004800","0360","ESC. Nº 360: ""JORGE EDMUNDO MARGALOT""","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","66"
"540004900","0510","ESC. Nº 510: ""FRAY IGNACIO GORRITI""","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","62"
"540004901","0510","Aula Sat. Nº 01: ""ESC. Nº 510""","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","24"
"540005000","0196","ESC. Nº 196","LEANDRO N. ALEM","LEANDRO N. ALEM","Estatal","Rural Disperso","Común - Primaria de 7 años ","35"
"540005100","0547","ESC. Nº 547: ""GRAL BELGRANO""","GUARANI","SAN VICENTE","Estatal","Rural Disperso","Común - Jardín de infantes ","3"
"540005100","0547","ESC. Nº 547: ""GRAL BELGRANO""","GUARANI","SAN VICENTE","Estatal","Rural Disperso","Común - Primaria de 7 años ","29"
"540005200","0432","ESC. Nº 432: ""PEDRO NUÑEZ""","GUARANI","SAN VICENTE","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","130"
"540005300","1829","I.E.A. Nº 03","GUARANI","SAN VICENTE","Estatal","Urbano","Común - Secundaria Completa req. 7 años ","443"
"540005400","0479","ESC. Nº 479: ""ANGEL GALLARDO""","GUARANI","SAN VICENTE","Estatal","Rural Disperso","Común - Primaria de 7 años ","27"
"540005500","1227","ESC. ADULTOS Nº 27","GUARANI","SAN VICENTE","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","252"
"540005500","1227","ESC. ADULTOS Nº 27","GUARANI","SAN VICENTE","Estatal","Urbano","Adultos - Primaria ","71"
"540005600","0222","ESC. Nº 222","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","100"
"540005700","0177","ESC. Nº 177","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Estatal","Urbano","Común - Primaria de 7 años ","433"
"540005800","0435","ESC. Nº 435: ""CRISTOBAL COLON""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Estatal","Rural Disperso","Común - Primaria de 7 años ","11"
"540006000","1112","INST. SUP. ""ADOLFO KOLPING""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Secundaria Completa req. 7 años ","119"
"540006000","1112","INST. SUP. ""ADOLFO KOLPING""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - SNU ","248"
"540006100","1376","ESC. ESPECIAL Nº 01: ""CLOTILDE G. DE F. RAMOS""","CAPITAL","POSADAS","Estatal","Urbano","Especial - Educacion integral para adolescentes y jovenes","50"
"540006100","1376","ESC. ESPECIAL Nº 01: ""CLOTILDE G. DE F. RAMOS""","CAPITAL","POSADAS","Estatal","Urbano","Especial - Primaria de 7 años ","75"
"540006200","0438","CENTRO. EDUC. ALAS Y RAICES","CAPITAL","POSADAS","Privado","Urbano","Común - Jardín de infantes ","58"
"540006200","0438","CENTRO. EDUC. ALAS Y RAICES","CAPITAL","POSADAS","Privado","Urbano","Común - Primaria de 7 años ","160"
"540006200","0438","CENTRO. EDUC. ALAS Y RAICES","CAPITAL","POSADAS","Privado","Urbano","Común - Secundaria Completa req. 7 años ","83"
"540006200","0438","CENTRO. EDUC. ALAS Y RAICES","CAPITAL","POSADAS","Privado","Urbano","Común - SNU ","136"
"540006300","0004","ESC. Nº 04: ""FRATERNIDAD""","CAPITAL","POSADAS","Estatal","Urbano","Común - Primaria de 7 años ","292"
"540006500","0334","ESC. Nº 334","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural Disperso","Común - Primaria de 7 años ","45"
"540006501","0334","Aula Sat. Nº 01: ""ESC. Nº 334""","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural","Común - Jardín de infantes ","1"
"540006501","0334","Aula Sat. Nº 01: ""ESC. Nº 334""","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural","Común - Primaria de 7 años ","12"
"540006502","0334","Aula Sat. Nº 02: ""ESC. Nº 334""","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural Disperso","Común - Jardín de infantes ","2"
"540006502","0334","Aula Sat. Nº 02: ""ESC. Nº 334""","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural Disperso","Común - Primaria de 7 años ","4"
"540006600","1111","INST. ADVENTISTA ""PUERTO RICO""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Jardín de infantes ","24"
"540006600","1111","INST. ADVENTISTA ""PUERTO RICO""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Primaria de 7 años ","147"
"540006700","0377","ESC. Nº 377","LIBERTADOR GENERAL SAN MARTIN","GARUHAPE","Estatal","Rural Disperso","Común - Primaria de 7 años ","55"
"540007000","1107","INST. ""SAN JUAN PABLO II""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común-Servicios Alternativos/Complementarios","124"
"540007000","1107","INST. ""SAN JUAN PABLO II""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Jardín de infantes ","118"
"540007000","1107","INST. ""SAN JUAN PABLO II""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Primaria de 7 años ","401"
"540007000","1107","INST. ""SAN JUAN PABLO II""","LIBERTADOR GENERAL SAN MARTIN","PUERTO RICO","Privado","Urbano","Común - Secundaria Completa req. 7 años ","227"
"540007100","1839","I.E.A. Nº 04","CANDELARIA","CANDELARIA","Estatal","Rural Disperso","Común - Secundaria Completa req. 7 años ","87"
"540007200","1390","ESC. ESPECIAL CARCELARIA Nº 20 (UP1)","CANDELARIA","LORETO","Estatal","Rural","Adultos - Alfabetización ","11"
"540007200","1390","ESC. ESPECIAL CARCELARIA Nº 20 (UP1)","CANDELARIA","LORETO","Estatal","Rural","Adultos - Primaria ","59"
"540007300","0166","ESC. Nº 166: ""MOISES BERTONI""","CANDELARIA","SANTA ANA","Estatal","Rural","Común - Primaria de 7 años ","71"
"540007400","0115","ESC. Nº 115: ""RUINAS DE LORETO""","CANDELARIA","LORETO","Estatal","Rural","Común - Primaria de 7 años ","115"
"540007402","0115","Aula Sat. Nº 02: ""ESC. Nº 115""","CANDELARIA","CANDELARIA","Estatal","Rural","Común - Primaria de 7 años ","31"
"540007500","0107","ESC. Nº 107","CANDELARIA","SANTA ANA","Estatal","Rural Disperso","Común - Primaria de 7 años ","103"
"540007600","0051","ESC. Nº 51","CANDELARIA","CANDELARIA","Estatal","Rural Disperso","Común - Jardín de infantes ","5"
"540007600","0051","ESC. Nº 51","CANDELARIA","CANDELARIA","Estatal","Rural Disperso","Común - Primaria de 7 años ","29"
"540007700","0045","ESC. Nº 45: ""PTE. JUAN DOMINGO PERON""","CANDELARIA","CANDELARIA","Estatal","Urbano","Común - Primaria de 7 años ","373"
"540007800","0901","INST. ""NUESTRA SEÑORA DEL CARMEN""","IGUAZU","PUERTO IGUAZU","Privado","Urbano","Común - Jardín de infantes ","69"
"540007800","0901","INST. ""NUESTRA SEÑORA DEL CARMEN""","IGUAZU","PUERTO IGUAZU","Privado","Urbano","Común - Primaria de 7 años ","400"
"540007900","0609","ESC. Nº 609: ""MANUEL DORREGO"" (J.C.)","CAPITAL","POSADAS","Estatal","Urbano","Común - Primaria de 7 años ","325"
"540008000","0200","ESC. Nº 200: ""SAN IGNACIO DE LOYOLA""","IGUAZU","PUERTO IGUAZU","Estatal","Urbano","Común - Primaria de 7 años ","474"
"540008100","0615","ESC. Nº 615: ""MARIANO MORENO""","IGUAZU","PUERTO IGUAZU","Estatal","Urbano","Común - Primaria de 7 años ","214"
"540008200","1393","ESC. ESPECIAL CARCELARIA Nº 21 (UP4)","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Alfabetización ","4"
"540008200","1393","ESC. ESPECIAL CARCELARIA Nº 21 (UP4)","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","11"
"540008300","1400","ESC. ESPECIAL CARCELARIA Nº 25 (UP5)","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Alfabetización ","7"
"540008300","1400","ESC. ESPECIAL CARCELARIA Nº 25 (UP5)","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","34"
"540008400","1419","ESC. ADULTOS Nº 19","CAPITAL","POSADAS","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","155"
"540008400","1419","ESC. ADULTOS Nº 19","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","108"
"540008500","0541","ESC. Nº 541: ""CAPITAN ANTONIO MORALES""","CAPITAL","POSADAS","Estatal","Urbano","Común - Primaria de 7 años ","353"
"540008600","0746","ESC. Nº 746: ""SUDAMERICA""","IGUAZU","PUERTO IGUAZU","Estatal","Urbano","Común - Primaria de 7 años ","301"
"540008700","0375","ESC. Nº 375","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","23"
"540008701","0375","Aula Sat. Nº 01: ""ESC. Nº 375"" (Ex ESC. Nº 545: ""FALUCHO"")","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","6"
"540008800","0641","ESC. Nº 641: ""SOLDADO DESCONOCIDO""","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","66"
"540008900","0376","ESC. Nº 376","25 DE MAYO","25 DE MAYO","Estatal","Rural","Común - Primaria de 7 años ","41"
"540008901","0376","Aula Sat. Nº 01: ""ESC. Nº 376"" (Ex Aula Sat. Nº 01: ""Esc. Nº 347"")","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Común - Jardín de infantes ","9"
"540008901","0376","Aula Sat. Nº 01: ""ESC. Nº 376"" (Ex Aula Sat. Nº 01: ""Esc. Nº 347"")","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Común - Primaria de 7 años ","9"
"540008902","0376","Aula Sat. Nº 02: ""ESC. Nº 376"" (Ex Esc. Nº 347)","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Común - Jardín de infantes ","2"
"540008902","0376","Aula Sat. Nº 02: ""ESC. Nº 376"" (Ex Esc. Nº 347)","25 DE MAYO","25 DE MAYO","Estatal","Urbano","Común - Primaria de 7 años ","8"
"540009000","0292","ESC. Nº 292: ""WOLF SCHCOLNIk""","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","54"
"540009001","0292","Aula Sat. Nº 01: ""ESC. Nº 292: WOLF SCHCOLNILNIK"" (Ex ESC. Nº 592)","25 DE MAYO","ALBA POSSE","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","8"
"540009300","0784","ESC. Nº 784: ""REMEDIOS DE ESCALADA DE SAN MARTIN""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","42"
"540009400","0574","ESC. Nº 574","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Jardín de infantes ","13"
"540009400","0574","ESC. Nº 574","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","50"
"540009500","1429","ESC. ESPECIAL CARCELARIA Nº 24: ""J. M. ESTRADA"" (UP17)","CANDELARIA","CANDELARIA","Estatal","Rural","Adultos - Primaria ","55"
"540009600","0553","ESC. Nº 553: ""ALICIA R. BEJERMAN""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","56"
"540009700","1516","B.O.P. Nº 16","OBERA","CAMPO RAMON","Estatal","Rural Aglomerado","Común - Secundaria Completa req. 7 años ","216"
"540009800","0457","ESC. Nº 457: ""PABLO A. PIZZURNO""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","327"
"540009900","0256","ESC. Nº 256","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","40"
"540010000","0456","ESC. Nº 456: ""ISLAS MALVINAS""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","40"
"540010100","0702","ESC. Nº 702","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","53"
"540010101","0702","Aula Sat. Nº 01: ""ESC. Nº 702""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","11"
"540010200","0639","ESC. Nº 639: ""ROSARIO V. PEÑALOZA""","OBERA","CAMPO RAMON","Estatal","Rural Disperso","Común - Primaria de 7 años ","61"
"540010300","0371","ESC. Nº 371","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","28"
"540010400","0488","ESC. Nº 488: ""PROVINCIA DE LA RIOJA""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","26"
"540010500","0312","ESC. Nº 312","OBERA","CAMPO RAMON","Estatal","Rural Disperso","Común - Primaria de 7 años ","9"
"540010600","0424","ESC. Nº 424: ""BLAS PARERA""","OBERA","CAMPO RAMON","Estatal","Rural","Común - Primaria de 7 años ","48"
"540010601","0424","Aula Sat. Nº 01: ""ESC. Nº 424""","OBERA","CAMPO RAMON","Estatal","Rural Disperso","Común - Primaria de 7 años ","10"
"540010700","0588","ESC. Nº 588","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","24"
"540011000","0394","ESC. Nº 394: FLORCITA DE GUAYUBIRA","25 DE MAYO","ALBA POSSE","Estatal","Rural","Común - Primaria de 7 años ","45"
"540011100","1408","ESC. ADULTOS Nº 08: ""SGO. DEL ESTERO""","CAPITAL","POSADAS","Estatal","Urbano","Adultos-Formación Profesional/Capacitación Laboral","391"
"540011100","1408","ESC. ADULTOS Nº 08: ""SGO. DEL ESTERO""","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","72"
"540011101","1408","Aula Sat. Nº 01: ""ESC. ADULTOS Nº 08""","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Primaria ","12"
"540011200","3503","C.E.N.S. Nº 176","CAPITAL","POSADAS","Estatal","Urbano","Adultos - Secundaria Completa","136"
"540011200","3503","C.E.N.S. Nº 176","CAPITAL","POSADAS","Estatal","Urbano","Común - Secundaria Completa req. 7 años ","64"
"540011200","3503","C.E.N.S. Nº 176","CAPITAL","POSADAS","Estatal","Urbano","Común - SNU ","352"
"540011400","0655","ESC. Nº 655","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","40"
"540011401","0655","Aula Sat. Nº 01: ""ESC. Nº 655""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","23"
"540011500","0653","ESC. Nº 653","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Jardín de infantes ","20"
"540011500","0653","ESC. Nº 653","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","114"
"540011501","0653","Aula Sat. Nº 01: ""ESC. Nº 653""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","49"
"540011600","0618","ESC. Nº 618 (F.J.C.)","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","29"
"540011601","0618","Aula Sat. Nº 01: ""ESC. Nº 618""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","5"
"540011700","0533","ESC. Nº 533: ""BERNARDO DE MONTEAGUDO""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Jardín de infantes ","16"
"540011700","0533","ESC. Nº 533: ""BERNARDO DE MONTEAGUDO""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","50"
"540011701","0533","Aula Sat. Nº 01: ""ESC. Nº 533""","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","31"
"540011800","0785","ESC. N° 785","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","72"
"540011900","0605","ESC. Nº 605: ""BARRANCAS DEL URUGUAY"" (F.J.C.) ","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Jardín de infantes ","12"
"540011900","0605","ESC. Nº 605: ""BARRANCAS DEL URUGUAY"" (F.J.C.) ","GUARANI","EL SOBERBIO","Estatal","Rural Disperso","Común - Primaria de 7 años ","39"
"540012000","1202","INST. ADVENTISTA ""MONTECARLO""","MONTECARLO","MONTECARLO","Privado","Urbano","Común - Jardín de infantes ","25"
"540012000","1202","INST. ADVENTISTA ""MONTECARLO""","MONTECARLO","MONTECARLO","Privado","Urbano","Común - Primaria de 7 años ","158"
"540012000","1202","INST. ADVENTISTA ""MONTECARLO""","MONTECARLO","MONTECARLO","Privado","Urbano","Común - Secundaria Completa req. 7 años ","131"
"540012300","0708","ESC. Nº 708: ""GUILLERMO BERGAMINI""","MONTECARLO","MONTECARLO","Estatal","Rural Aglomerado","Común - Primaria de 7 años ","38"
