cueanexo,nombre,oferta,año,matricula
540003200,ESC. Nº 78,Común - Primaria de 7 años ,2024,12
540003300,ESC. Nº 121,Común - Primaria de 7 años ,2024,18
540003400,"ESC. Nº 89: ""PREFECTURA NAVAL ARGENTINA""",Común - Primaria de 7 años ,2024,54
540003600,ESC. ADULTOS Nº 33,Adultos-Formación Profesional/Capacitación Laboral,2024,193
540003600,ESC. ADULTOS Nº 33,Adultos - Primaria ,2024,57
540003700,ESC. ADULTOS Nº 34,Adultos-Formación Profesional/Capacitación Laboral,2024,77
540003700,ESC. ADULTOS Nº 34,Adultos - Primaria ,2024,46
540003702,"Aula Sat. Nº 02: ""ESC. ADULTOS Nº 34""",Adultos - Primaria ,2024,12
540003800,"E.F.A. ""PADRE ANTONIO SEPP""",Adultos-Formación Profesional/Capacitación Laboral,2024,26
540003800,"E.F.A. ""PADRE ANTONIO SEPP""",Común - Secundaria Completa req. 7 años ,2024,92
540003900,"ESC. Nº 239: ""GRANADEROS DE SAN MARTIN""",Común - Primaria de 7 años ,2024,322
540004000,"ESC. Nº 295: ""DR.SABATO ROMANO""",Común - Primaria de 7 años ,2024,145
540004100,"ESC. Nº 614: ""ARTURO M. BAS"" (F.J.C.)",Común - Primaria de 7 años ,2024,99
540004200,"INST. SUP. ""CEFERINO NAMUNCURA""",Común - Jardín de infantes ,2024,168
540004200,"INST. SUP. ""CEFERINO NAMUNCURA""",Común - Primaria de 7 años ,2024,400
540004200,"INST. SUP. ""CEFERINO NAMUNCURA""",Común - Secundaria Completa req. 7 años ,2024,270
540004400,"ESC. Nº 374: ""PICADA EL DORADITO""",Común - Primaria de 7 años ,2024,159
540004401,"Aula Sat. Nº 01: ""ESC. Nº 374""",Común - Primaria de 7 años ,2024,14
540004403,"Aula Sat. Nº 03: ""ESC. Nº 374""",Común - Primaria de 7 años ,2024,39
540004500,ESC. Nº 562,Común - Jardín de infantes ,2024,15
540004500,ESC. Nº 562,Común - Primaria de 7 años ,2024,49
540004700,ESC. Nº 351,Común - Primaria de 7 años ,2024,63
540004800,"ESC. Nº 360: ""JORGE EDMUNDO MARGALOT""",Común - Primaria de 7 años ,2024,66
540004900,"ESC. Nº 510: ""FRAY IGNACIO GORRITI""",Común - Primaria de 7 años ,2024,62
540004901,"Aula Sat. Nº 01: ""ESC. Nº 510""",Común - Primaria de 7 años ,2024,24
540005000,ESC. Nº 196,Común - Primaria de 7 años ,2024,35
540005100,"ESC. Nº 547: ""GRAL BELGRANO""",Común - Jardín de infantes ,2024,3
540005100,"ESC. Nº 547: ""GRAL BELGRANO""",Común - Primaria de 7 años ,2024,29
540005200,"ESC. Nº 432: ""PEDRO NUÑEZ""",Común - Primaria de 7 años ,2024,130
540005300,I.E.A. Nº 03,Común - Secundaria Completa req. 7 años ,2024,443
540005400,"ESC. Nº 479: ""ANGEL GALLARDO""",Común - Primaria de 7 años ,2024,27
540005500,ESC. ADULTOS Nº 27,Adultos-Formación Profesional/Capacitación Laboral,2024,252
540005500,ESC. ADULTOS Nº 27,Adultos - Primaria ,2024,71
540005600,ESC. Nº 222,Común - Primaria de 7 años ,2024,100
540005700,ESC. Nº 177,Común - Primaria de 7 años ,2024,433
540005800,"ESC. Nº 435: ""CRISTOBAL COLON""",Común - Primaria de 7 años ,2024,11
540006000,"INST. SUP. ""ADOLFO KOLPING""",Común - Secundaria Completa req. 7 años ,2024,119
540006000,"INST. SUP. ""ADOLFO KOLPING""",Común - SNU ,2024,248
540006100,"ESC. ESPECIAL Nº 01: ""CLOTILDE G. DE F. RAMOS""",Especial - Educacion integral para adolescentes y jovenes,2024,50
540006100,"ESC. ESPECIAL Nº 01: ""CLOTILDE G. DE F. RAMOS""",Especial - Primaria de 7 años ,2024,75
540006200,CENTRO. EDUC. ALAS Y RAICES,Común - Jardín de infantes ,2024,58
540006200,CENTRO. EDUC. ALAS Y RAICES,Común - Primaria de 7 años ,2024,160
540006200,CENTRO. EDUC. ALAS Y RAICES,Común - Secundaria Completa req. 7 años ,2024,83
540006200,CENTRO. EDUC. ALAS Y RAICES,Común - SNU ,2024,136
540006300,"ESC. Nº 04: ""FRATERNIDAD""",Común - Primaria de 7 años ,2024,292
540006500,ESC. Nº 334,Común - Primaria de 7 años ,2024,45
540006501,"Aula Sat. Nº 01: ""ESC. Nº 334""",Común - Jardín de infantes ,2024,1
540006501,"Aula Sat. Nº 01: ""ESC. Nº 334""",Común - Primaria de 7 años ,2024,12
540006502,"Aula Sat. Nº 02: ""ESC. Nº 334""",Común - Jardín de infantes ,2024,2
540006502,"Aula Sat. Nº 02: ""ESC. Nº 334""",Común - Primaria de 7 años ,2024,4
540006600,"INST. ADVENTISTA ""PUERTO RICO""",Común - Jardín de infantes ,2024,24
540006600,"INST. ADVENTISTA ""PUERTO RICO""",Común - Primaria de 7 años ,2024,147
540006700,ESC. Nº 377,Común - Primaria de 7 años ,2024,55
540007000,"INST. ""SAN JUAN PABLO II""",Común-Servicios Alternativos/Complementarios,2024,124
540007000,"INST. ""SAN JUAN PABLO II""",Común - Jardín de infantes ,2024,118
540007000,"INST. ""SAN JUAN PABLO II""",Común - Primaria de 7 años ,2024,401
540007000,"INST. ""SAN JUAN PABLO II""",Común - Secundaria Completa req. 7 años ,2024,227
540007100,I.E.A. Nº 04,Común - Secundaria Completa req. 7 años ,2024,87
540007200,ESC. ESPECIAL CARCELARIA Nº 20 (UP1),Adultos - Alfabetización ,2024,11
540007200,ESC. ESPECIAL CARCELARIA Nº 20 (UP1),Adultos - Primaria ,2024,59
540007300,"ESC. Nº 166: ""MOISES BERTONI""",Común - Primaria de 7 años ,2024,71
540007400,"ESC. Nº 115: ""RUINAS DE LORETO""",Común - Primaria de 7 años ,2024,115
540007402,"Aula Sat. Nº 02: ""ESC. Nº 115""",Común - Primaria de 7 años ,2024,31
540007500,ESC. Nº 107,Común - Primaria de 7 años ,2024,103
540007600,ESC. Nº 51,Común - Jardín de infantes ,2024,5
540007600,ESC. Nº 51,Común - Primaria de 7 años ,2024,29
540007700,"ESC. Nº 45: ""PTE. JUAN DOMINGO PERON""",Común - Primaria de 7 años ,2024,373
540007800,"INST. ""NUESTRA SEÑORA DEL CARMEN""",Común - Jardín de infantes ,2024,69
540007800,"INST. ""NUESTRA SEÑORA DEL CARMEN""",Común - Primaria de 7 años ,2024,400
540007900,"ESC. Nº 609: ""MANUEL DORREGO"" (J.C.)",Común - Primaria de 7 años ,2024,325
540008000,"ESC. Nº 200: ""SAN IGNACIO DE LOYOLA""",Común - Primaria de 7 años ,2024,474
540008100,"ESC. Nº 615: ""MARIANO MORENO""",Común - Primaria de 7 años ,2024,214
540008200,ESC. ESPECIAL CARCELARIA Nº 21 (UP4),Adultos - Alfabetización ,2024,4
540008200,ESC. ESPECIAL CARCELARIA Nº 21 (UP4),Adultos - Primaria ,2024,11
540008300,ESC. ESPECIAL CARCELARIA Nº 25 (UP5),Adultos - Alfabetización ,2024,7
540008300,ESC. ESPECIAL CARCELARIA Nº 25 (UP5),Adultos - Primaria ,2024,34
540008400,ESC. ADULTOS Nº 19,Adultos-Formación Profesional/Capacitación Laboral,2024,155
540008400,ESC. ADULTOS Nº 19,Adultos - Primaria ,2024,108
540008500,"ESC. Nº 541: ""CAPITAN ANTONIO MORALES""",Común - Primaria de 7 años ,2024,353
540008600,"ESC. Nº 746: ""SUDAMERICA""",Común - Primaria de 7 años ,2024,301
540008700,ESC. Nº 375,Común - Primaria de 7 años ,2024,23
540008701,"Aula Sat. Nº 01: ""ESC. Nº 375"" (Ex ESC. Nº 545: ""FALUCHO"")",Común - Primaria de 7 años ,2024,6
540008800,"ESC. Nº 641: ""SOLDADO DESCONOCIDO""",Común - Primaria de 7 años ,2024,66
540008900,ESC. Nº 376,Común - Primaria de 7 años ,2024,41
540008901,"Aula Sat. Nº 01: ""ESC. Nº 376"" (Ex Aula Sat. Nº 01: ""Esc. Nº 347"")",Común - Jardín de infantes ,2024,9
540008901,"Aula Sat. Nº 01: ""ESC. Nº 376"" (Ex Aula Sat. Nº 01: ""Esc. Nº 347"")",Común - Primaria de 7 años ,2024,9
540008902,"Aula Sat. Nº 02: ""ESC. Nº 376"" (Ex Esc. Nº 347)",Común - Jardín de infantes ,2024,2
540008902,"Aula Sat. Nº 02: ""ESC. Nº 376"" (Ex Esc. Nº 347)",Común - Primaria de 7 años ,2024,8
540009000,"ESC. Nº 292: ""WOLF SCHCOLNIk""",Común - Primaria de 7 años ,2024,54
540009001,"Aula Sat. Nº 01: ""ESC. Nº 292: WOLF SCHCOLNILNIK"" (Ex ESC. Nº 592)",Común - Primaria de 7 años ,2024,8
540009300,"ESC. Nº 784: ""REMEDIOS DE ESCALADA DE SAN MARTIN""",Común - Primaria de 7 años ,2024,42
540009400,ESC. Nº 574,Común - Jardín de infantes ,2024,13
540009400,ESC. Nº 574,Común - Primaria de 7 años ,2024,50
540009500,"ESC. ESPECIAL CARCELARIA Nº 24: ""J. M. ESTRADA"" (UP17)",Adultos - Primaria ,2024,55
540009600,"ESC. Nº 553: ""ALICIA R. BEJERMAN""",Común - Primaria de 7 años ,2024,56
540009700,B.O.P. Nº 16,Común - Secundaria Completa req. 7 años ,2024,216
540009800,"ESC. Nº 457: ""PABLO A. PIZZURNO""",Común - Primaria de 7 años ,2024,327
540009900,ESC. Nº 256,Común - Primaria de 7 años ,2024,40
540010000,"ESC. Nº 456: ""ISLAS MALVINAS""",Común - Primaria de 7 años ,2024,40
540010100,ESC. Nº 702,Común - Primaria de 7 años ,2024,53
540010101,"Aula Sat. Nº 01: ""ESC. Nº 702""",Común - Primaria de 7 años ,2024,11
540010200,"ESC. Nº 639: ""ROSARIO V. PEÑALOZA""",Común - Primaria de 7 años ,2024,61
540010300,ESC. Nº 371,Común - Primaria de 7 años ,2024,28
540010400,"ESC. Nº 488: ""PROVINCIA DE LA RIOJA""",Común - Primaria de 7 años ,2024,26
540010500,ESC. Nº 312,Común - Primaria de 7 años ,2024,9
540010600,"ESC. Nº 424: ""BLAS PARERA""",Común - Primaria de 7 años ,2024,48
540010601,"Aula Sat. Nº 01: ""ESC. Nº 424""",Común - Primaria de 7 años ,2024,10
540010700,ESC. Nº 588,Común - Primaria de 7 años ,2024,24
540011000,ESC. Nº 394: FLORCITA DE GUAYUBIRA,Común - Primaria de 7 años ,2024,45
540011100,"ESC. ADULTOS Nº 08: ""SGO. DEL ESTERO""",Adultos-Formación Profesional/Capacitación Laboral,2024,391
540011100,"ESC. ADULTOS Nº 08: ""SGO. DEL ESTERO""",Adultos - Primaria ,2024,72
540011101,"Aula Sat. Nº 01: ""ESC. ADULTOS Nº 08""",Adultos - Primaria ,2024,12
540011200,C.E.N.S. Nº 176,Adultos - Secundaria Completa,2024,136
540011200,C.E.N.S. Nº 176,Común - Secundaria Completa req. 7 años ,2024,64
540011200,C.E.N.S. Nº 176,Común - SNU ,2024,352
540011400,ESC. Nº 655,Común - Primaria de 7 años ,2024,40
540011401,"Aula Sat. Nº 01: ""ESC. Nº 655""",Común - Primaria de 7 años ,2024,23
540011500,ESC. Nº 653,Común - Jardín de infantes ,2024,20
540011500,ESC. Nº 653,Común - Primaria de 7 años ,2024,114
540011501,"Aula Sat. Nº 01: ""ESC. Nº 653""",Común - Primaria de 7 años ,2024,49
540011600,ESC. Nº 618 (F.J.C.),Común - Primaria de 7 años ,2024,29
540011601,"Aula Sat. Nº 01: ""ESC. Nº 618""",Común - Primaria de 7 años ,2024,5
540011700,"ESC. Nº 533: ""BERNARDO DE MONTEAGUDO""",Común - Jardín de infantes ,2024,16
540011700,"ESC. Nº 533: ""BERNARDO DE MONTEAGUDO""",Común - Primaria de 7 años ,2024,50
540011701,"Aula Sat. Nº 01: ""ESC. Nº 533""",Común - Primaria de 7 años ,2024,31
540011800,ESC. N° 785,Común - Primaria de 7 años ,2024,72
540011900,"ESC. Nº 605: ""BARRANCAS DEL URUGUAY"" (F.J.C.) ",Común - Jardín de infantes ,2024,12
540011900,"ESC. Nº 605: ""BARRANCAS DEL URUGUAY"" (F.J.C.) ",Común - Primaria de 7 años ,2024,39
540012000,"INST. ADVENTISTA ""MONTECARLO""",Común - Jardín de infantes ,2024,25
540012000,"INST. ADVENTISTA ""MONTECARLO""",Común - Primaria de 7 años ,2024,158
540012000,"INST. ADVENTISTA ""MONTECARLO""",Común - Secundaria Completa req. 7 años ,2024,131
540012300,"ESC. Nº 708: ""GUILLERMO BERGAMINI""",Común - Primaria de 7 años ,2024,38
540012400,"ESC. Nº 633: ""ENRIQUE URRUTIA"" (F.J.C.)",Común - Primaria de 7 años ,2024,224
540012500,"ESC. Nº 468: ""JUANA MANSO""",Común - Primaria de 7 años ,2024,616
540012600,ESC. Nº 14,Común - Primaria de 7 años ,2024,207
540012800,ESC. Nº 280,Común - Primaria de 7 años ,2024,106
540012900,ESC. Nº 764,Común - Primaria de 7 años ,2024,60
540013000,ESC. Nº 744:  NUESTRA SRA. DE ITATI,Común - Primaria de 7 años ,2024,68
540013400,"ESC. Nº 690: ""HEROES DE MALVINAS""",Común - Primaria de 7 años ,2024,76
540013500,"ESC. Nº 439: ""PROVINCIA DE MENDOZA""",Común - Primaria de 7 años ,2024,140
540013600,"ESC. Nº 414: ""JUAN DE AYOLAS""",Común - Primaria de 7 años ,2024,112
540013900,ESC. DE COMERCIO Nº 04,Adultos - Secundaria Completa,2024,235
540014000,"INST. ADVENTISTA ""WANDA""",Común - Jardín de infantes ,2024,64
540014000,"INST. ADVENTISTA ""WANDA""",Común - Primaria de 7 años ,2024,220
540014100,"INST. ""ESTUDIOS SUP. DE LAS MISIONES""",Común - SNU ,2024,93
540014500,"ESC. Nº 76: ""MARINA ARGENTINA""",Común - Primaria de 7 años ,2024,120
540014600,"ESC. Nº 521: ""JOSE GERVASIO ARTIGAS""",Común - Primaria de 7 años ,2024,582
540014900,"ESC. Nº 422: ""PROV. DE SANTA CRUZ""",Común - Primaria de 7 años ,2024,58
540014901,"Aula Sat. Nº 01: ""ESC. Nº 422"" (Ex 	ESC. Nº 493: ""TIERRA DEL FUEGO"")",Común - Jardín de infantes ,2024,10
540014901,"Aula Sat. Nº 01: ""ESC. Nº 422"" (Ex 	ESC. Nº 493: ""TIERRA DEL FUEGO"")",Común - Primaria de 7 años ,2024,24
540015000,"ESC. Nº 407: ""FLORENTINO AMEGHINO""",Común - Primaria de 7 años ,2024,99
540015100,ESC. Nº 580,Común - Primaria de 7 años ,2024,48
540015200,"ESC. Nº 425: ""SALTO ENCANTADO""",Común - Primaria de 7 años ,2024,51
540015400,"ESC. Nº 415: ""BARTOLOME MITRE""",Común - Primaria de 7 años ,2024,59
540015500,"ESC. Nº 495: ""PROVINCIA DE NEUQUEN""",Común - Primaria de 7 años ,2024,121
540015600,"ESC. Nº 123: ""MISIONES LA HERMOSA""",Común - Jardín de infantes ,2024,6
540015600,"ESC. Nº 123: ""MISIONES LA HERMOSA""",Común - Primaria de 7 años ,2024,29
540015700,"INST. ""MOV. RURAL CRISTIANO""",Común - Jardín de infantes ,2024,16
540015700,"INST. ""MOV. RURAL CRISTIANO""",Común - Primaria de 7 años ,2024,66
540015800,"ESC. Nº 558: ""CLUBES ARG. DE SERVICIOS""",Común - Primaria de 7 años ,2024,229
540015900,"ESC. Nº 532: ""PROV. DE SAN JUAN""",Común - Primaria de 7 años ,2024,42
540016000,"ESC. Nº 734: ""MARIA EVA DUARTE DE PERON""",Común - Primaria de 7 años ,2024,92
540016100,ESC. Nº 22,Común - Primaria de 7 años ,2024,78
540016200,ESC. Nº 383,Común - Primaria de 7 años ,2024,47
540016300,"ESC. Nº 751: ""FRANCO LEARCO GUERRA""",Común - Primaria de 7 años ,2024,54
540016301,"Aula Sat. Nº 01: ""ESC. Nº 751""",Común - Primaria de 7 años ,2024,19
540016400,"ESC. Nº 595: ""MAYOR CARLOS E. KRAUSE""",Común - Primaria de 7 años ,2024,105
540016500,ESC. Nº 80,Común - Jardín de infantes ,2024,19
540016500,ESC. Nº 80,Común - Primaria de 7 años ,2024,68
540016600,"ESC. Nº 410: ""ANTONIO L. BERUTI""",Común - Primaria de 7 años ,2024,236
540016601,"Aula Sat. Nº 01: ""ESC. Nº 410""",Común - Primaria de 7 años ,2024,13
540016800,"ESC. Nº 270: ""PRIMEROS COLONOS""",Común - Primaria de 7 años ,2024,387
540016900,"ESC. Nº 549: ""SALTO MISTERIOSO""",Común - Primaria de 7 años ,2024,79
540017000,ESC. Nº 391,Común - Primaria de 7 años ,2024,65
540017001,"Aula Sat. Nº 01: ""ESC. Nº 391""",Común - Primaria de 7 años ,2024,44
540017002,"Aula Sat. Nº 02: ""ESC. Nº 391""",Común - Primaria de 7 años ,2024,7
540017100,"ESC. Nº 430: ""JUSTO J. DE URQUIZA""",Común - Primaria de 7 años ,2024,49
540017101,"Aula Sat. Nº 01: ""ESC. Nº 430""",Común - Primaria de 7 años ,2024,97
540017200,"ESC. Nº 85: ""STA. ROSA DE LIMA""",Común - Primaria de 7 años ,2024,26
540017300,ESC. Nº 324,Común - Primaria de 7 años ,2024,48
540017400,ESC. Nº 671,Común - Primaria de 7 años ,2024,44
540017600,"ESC. Nº 405: ""JUAN JOSE PASO""",Común - Jardín de infantes ,2024,3
540017600,"ESC. Nº 405: ""JUAN JOSE PASO""",Común - Primaria de 7 años ,2024,43
540017700,"ESC. Nº 572: ""RICARDO FEDERICO SCHMIDT""",Común - Jardín de infantes ,2024,1
540017700,"ESC. Nº 572: ""RICARDO FEDERICO SCHMIDT""",Común - Primaria de 7 años ,2024,20
540017800,B.O.P. Nº 26,Común - Secundaria Completa req. 7 años ,2024,144
540017900,"ESC. Nº 218: ""BATALLA DE MBORORE""",Común - Primaria de 7 años ,2024,167
540018000,ESC. Nº 550,Común - Primaria de 7 años ,2024,150
540018001,"Aula Sat. Nº 01: ""ESC. Nº 550""",Común - Primaria de 7 años ,2024,33
540018100,ESC. Nº 568,Común - Primaria de 7 años ,2024,22
540018200,"ESC. Nº 131: ""FRAGATA LIBERTAD""",Común - Primaria de 7 años ,2024,46
540018201,"Aula Sat. Nº 01: ""ESC. Nº 131""",Común - Primaria de 7 años ,2024,52
540018300,"ESC. Nº 113: ""MAXIMINO IBARROLA""",Común - Primaria de 7 años ,2024,171
540018500,ESC. Nº 628,Común - Primaria de 7 años ,2024,19
540018501,"Aula Sat. Nº 01: ""ESC. Nº 628"" (Ex Aula Sat. ""ESC. Nº 138"")",Común - Primaria de 7 años ,2024,20
540018600,"ESC. Nº 77: ""MARIA N. R. DE DERENDINGER""",Común - Primaria de 7 años ,2024,197
540018700,"ESC. Nº 60: ""MARIANO R.PEREZ""",Común - Primaria de 7 años ,2024,22
540018800,ESC. Nº 58,Común - Primaria de 7 años ,2024,14
540018900,"ESC. Nº 621 ""BARTOLOME MITRE""",Común - Primaria de 7 años ,2024,198
540019000,"ESC. Nº 94: ""JUAN ADRIANO BONETTI""",Común - Jardín de infantes ,2024,6
540019000,"ESC. Nº 94: ""JUAN ADRIANO BONETTI""",Común - Primaria de 7 años ,2024,11
540019001,"Aula Sat. Nº 01: ""ESC. Nº 94""",Común - Jardín de infantes ,2024,4
540019001,"Aula Sat. Nº 01: ""ESC. Nº 94""",Común - Primaria de 7 años ,2024,8
540019100,"ESC. Nº 52: ""MARCOS SASTRE""",Común - Primaria de 7 años ,2024,36
540019500,ESC. Nº 97,Común - Primaria de 7 años ,2024,17
540019501,"Aula Sat. Nº 01: ""ESC. Nº 97"" (Ex. ESC. Nº 911)",Común - Jardín de infantes ,2024,5
540019501,"Aula Sat. Nº 01: ""ESC. Nº 97"" (Ex. ESC. Nº 911)",Común - Primaria de 7 años ,2024,12
540019700,ESC. Nº 697,Común - Primaria de 7 años ,2024,55
540019800,"ESC. Nº 554: ""ANDRES GUACURARI""",Común - Primaria de 7 años ,2024,95
540019801,"Aula Sat. Nº 01: ""ESC. Nº 554""",Común - Jardín de infantes ,2024,7
540019801,"Aula Sat. Nº 01: ""ESC. Nº 554""",Común - Primaria de 7 años ,2024,6
540019900,ESC. Nº 713,Común - Jardín de infantes ,2024,12
540019900,ESC. Nº 713,Común - Primaria de 7 años ,2024,28
540020100,ESC. Nº 753,Común - Jardín de infantes ,2024,2
540020100,ESC. Nº 753,Común - Primaria de 7 años ,2024,11
540020101,"Aula Sat. Nº 01: ""ESC. Nº 753""",Común - Jardín de infantes ,2024,2
540020101,"Aula Sat. Nº 01: ""ESC. Nº 753""",Común - Primaria de 7 años ,2024,16
540020102,"Aula Sat. Nº 02: ""ESC. Nº 753"" (Ex ESC. Nº 679: ""DE LA SELVA"")",Común - Jardín de infantes ,2024,5
540020102,"Aula Sat. Nº 02: ""ESC. Nº 753"" (Ex ESC. Nº 679: ""DE LA SELVA"")",Común - Primaria de 7 años ,2024,18
540020103,"Aula Sat. Nº 03: ""ESC. Nº 753"" (Ex ESC. Nº 757: ""NUEVO HORIZONTE"")	",Común - Jardín de infantes ,2024,6
540020103,"Aula Sat. Nº 03: ""ESC. Nº 753"" (Ex ESC. Nº 757: ""NUEVO HORIZONTE"")	",Común - Primaria de 7 años ,2024,16
540020200,"ESC. Nº 761: ""KA'AGUY PORÂ"" (INT. BILINGÜE)",Común - Primaria de 7 años ,2024,38
540020201,"Aula Sat. Nº 01: ""ESC. Nº 761""",Común - Primaria de 7 años ,2024,27
540020300,BACH. COMUN Nº 03,Adultos - Secundaria Completa,2024,54
540020300,BACH. COMUN Nº 03,Común - Secundaria Completa req. 7 años ,2024,207
540020400,"INST. ADVENTISTA ""COMANDANTE ANDRESITO""",Común - Jardín de infantes ,2024,30
540020400,"INST. ADVENTISTA ""COMANDANTE ANDRESITO""",Común - Primaria de 7 años ,2024,156
540020400,"INST. ADVENTISTA ""COMANDANTE ANDRESITO""",Común - Secundaria Completa req. 7 años ,2024,101
540020500,CENTRO COM. RURAL EVANG.,Común - Jardín de infantes ,2024,50
540020500,CENTRO COM. RURAL EVANG.,Común - Primaria de 7 años ,2024,188
540020500,CENTRO COM. RURAL EVANG.,Común - Secundaria Completa req. 7 años ,2024,120
540020600,"ESC. Nº 511: ""DOMINGO MATHEU""",Común - Primaria de 7 años ,2024,33
540020601,"Aula Sat. Nº 01: ""ESC. Nº 511""",Común - Jardín de infantes ,2024,3
540020601,"Aula Sat. Nº 01: ""ESC. Nº 511""",Común - Primaria de 7 años ,2024,9
540020602,"Aula Sat. Nº 02: ""ESC. Nº 511""",Común - Primaria de 7 años ,2024,85
540020700,"ESC. Nº 50: ""ISLAS MALVINAS""",Común - Primaria de 7 años ,2024,68
540020800,"INST. ""SAN ALBERTO MAGNO""",Común - Jardín de infantes ,2024,153
540020800,"INST. ""SAN ALBERTO MAGNO""",Común - Primaria de 7 años ,2024,701
540020800,"INST. ""SAN ALBERTO MAGNO""",Común - Secundaria Completa req. 7 años ,2024,401
540020900,E.P.E.T. Nº 35 (Ex B.O.P Nº 41),Común - Secundaria Completa req. 7 años ,2024,213
540020901,"Aula Sat. Nº 01: ""E.P.E.T. Nº 35"" (C.F.P.)",Adultos-Formación Profesional/Capacitación Laboral,2024,59
540021000,ESC. Nº 610 (F.J.C.),Común - Primaria de 7 años ,2024,30
