"cueanexo","nombre","sector","ambito","modalidad","oferta_agregada","sexo","grado","total"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","2do Año/Grado","3"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","2do Año/Grado","5"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","3er Año/Grado","1"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","3er Año/Grado","5"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","4to Año/Grado","2"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","4to Año/Grado","5"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","5to Año/Grado","6"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","5to Año/Grado","3"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","6to Año/Grado","3"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","6to Año/Grado","3"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Femenino","7mo Año/Grado","5"
"540000200","ESC. Nº 240: ""ITACURUZU""","Estatal","Rural Disperso","Común","Primario","Masculino","7mo Año/Grado","3"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","16"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","1er Año/Grado","13"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","2do Año/Grado","9"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","2do Año/Grado","9"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","3er Año/Grado","16"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","3er Año/Grado","11"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","4to Año/Grado","13"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","4to Año/Grado","7"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","5to Año/Grado","8"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","5to Año/Grado","20"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","6to Año/Grado","9"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","6to Año/Grado","7"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Femenino","7mo Año/Grado","8"
"540000300","ESC. Nº 484: ""AEROPARQUE""","Estatal","Rural Aglomerado","Común","Primario","Masculino","7mo Año/Grado","9"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","8"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","1er Año/Grado","8"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","2do Año/Grado","7"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","2do Año/Grado","8"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","3er Año/Grado","20"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","3er Año/Grado","13"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","4to Año/Grado","11"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","4to Año/Grado","11"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","5to Año/Grado","19"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","5to Año/Grado","15"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","6to Año/Grado","9"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","6to Año/Grado","18"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Femenino","7mo Año/Grado","9"
"540000400","ESC. Nº 426: ""NICOLÁS AVELLANEDA""","Estatal","Rural Aglomerado","Común","Primario","Masculino","7mo Año/Grado","12"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Masculino","1er Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Femenino","2do Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Masculino","2do Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Femenino","3er Año/Grado","0"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Masculino","3er Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Femenino","4to Año/Grado","3"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Primario","Masculino","4to Año/Grado","1"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Jardín de Infantes","Femenino","No Corresponde","0"
"540000401","Aula Sat. Nº 01: ""ESC. Nº 426: Nicolás Avellaneda""","Estatal","Rural Aglomerado","Común","Jardín de Infantes","Masculino","No Corresponde","1"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","1er Año/Grado","4"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","1er Año/Grado","3"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","2do Año/Grado","1"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","2do Año/Grado","2"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","3er Año/Grado","2"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","3er Año/Grado","1"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","4to Año/Grado","2"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","4to Año/Grado","1"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","5to Año/Grado","1"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","5to Año/Grado","0"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Femenino","6to Año/Grado","2"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Primario","Masculino","6to Año/Grado","2"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Jardín de Infantes","Femenino","No Corresponde","0"
"540000402","Aula Sat. Nº 02: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Esc. Nº 523)","Estatal","Rural","Común","Jardín de Infantes","Masculino","No Corresponde","3"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","1er Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","1er Año/Grado","0"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","2do Año/Grado","0"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","2do Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","3er Año/Grado","0"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","3er Año/Grado","2"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","4to Año/Grado","2"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","4to Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","5to Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","5to Año/Grado","2"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","6to Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","6to Año/Grado","2"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","7mo Año/Grado","1"
"540000403","Aula Sat. Nº 03: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 02: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","7mo Año/Grado","0"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","1er Año/Grado","0"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","1er Año/Grado","4"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","2do Año/Grado","2"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","2do Año/Grado","2"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","3er Año/Grado","1"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","3er Año/Grado","0"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","4to Año/Grado","5"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","4to Año/Grado","3"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","5to Año/Grado","0"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","5to Año/Grado","2"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","6to Año/Grado","1"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","6to Año/Grado","3"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Femenino","7mo Año/Grado","3"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Primario","Masculino","7mo Año/Grado","4"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Jardín de Infantes","Femenino","No Corresponde","2"
"540000404","Aula Sat. Nº 04: ""ESC. Nº 426: Nicolás Avellaneda"" (Ex Aula Sat. Nº 01: ""Esc. Nº 523"")","Estatal","Rural","Común","Jardín de Infantes","Masculino","No Corresponde","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","1er Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","2do Año/Grado","0"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","2do Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","3er Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","3er Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","4to Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","4to Año/Grado","0"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","5to Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","5to Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","6to Año/Grado","0"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","6to Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Femenino","7mo Año/Grado","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Primario","Masculino","7mo Año/Grado","2"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Jardín de Infantes","Femenino","No Corresponde","1"
"540000500","ESC. Nº 265","Estatal","Rural Aglomerado","Común","Jardín de Infantes","Masculino","No Corresponde","1"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","1er Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","1er Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","2do Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","2do Año/Grado","2"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","3er Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","3er Año/Grado","2"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","4to Año/Grado","1"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","4to Año/Grado","1"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","5to Año/Grado","4"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","5to Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","6to Año/Grado","2"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","6to Año/Grado","0"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Femenino","7mo Año/Grado","2"
"540000600","ESC. Nº 142: ""MAYOR J.A. RAMALLO""","Estatal","Rural Disperso","Común","Primario","Masculino","7mo Año/Grado","1"
"540000700","ESC. ESPECIAL Nº 11","Estatal","Urbano","Especial","Educacion integral para adolescentes y jovenes","Femenino","No Corresponde","14"
"540000700","ESC. ESPECIAL Nº 11","Estatal","Urbano","Especial","Educacion integral para adolescentes y jovenes","Masculino","No Corresponde","15"
"540000700","ESC. ESPECIAL Nº 11","Estatal","Urbano","Especial","Primario","Femenino","No Corresponde","6"
"540000700","ESC. ESPECIAL Nº 11","Estatal","Urbano","Especial","Primario","Masculino","No Corresponde","16"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","1er Año/Grado","7"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","1er Año/Grado","12"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","2do Año/Grado","9"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","2do Año/Grado","6"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","3er Año/Grado","8"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","3er Año/Grado","10"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","4to Año/Grado","5"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","4to Año/Grado","9"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","5to Año/Grado","12"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","5to Año/Grado","7"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","6to Año/Grado","6"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","6to Año/Grado","8"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Femenino","7mo Año/Grado","13"
"540000800","ESC. Nº 771","Estatal","Urbano","Común","Primario","Masculino","7mo Año/Grado","15"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Femenino","1er Año/Grado","17"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Masculino","1er Año/Grado","29"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Femenino","2do Año/Grado","27"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Masculino","2do Año/Grado","17"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Femenino","3er Año/Grado","27"
"540000900","B.O.P. Nº 15","Estatal","Urbano","Adultos","Secundario/Medio/Polimodal","Masculino","3er Año/Grado","24"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Femenino","1er Año/Grado","21"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Masculino","1er Año/Grado","15"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Femenino","2do Año/Grado","19"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Masculino","2do Año/Grado","17"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Femenino","3er Año/Grado","15"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Masculino","3er Año/Grado","12"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Femenino","4to Año/Grado","10"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Masculino","4to Año/Grado","8"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Femenino","5to Año/Grado","4"
"540000901","Aula Sat. Nº 01: ""B.O.P. Nº 15""","Estatal","Urbano","Común","Secundario/Medio/Polimodal","Masculino","5to Año/Grado","12"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","1er Año/Grado","8"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","1er Año/Grado","4"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","2do Año/Grado","8"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","2do Año/Grado","8"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","3er Año/Grado","8"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","3er Año/Grado","9"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","4to Año/Grado","6"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","4to Año/Grado","9"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","5to Año/Grado","7"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","5to Año/Grado","4"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","6to Año/Grado","6"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","6to Año/Grado","9"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Femenino","7mo Año/Grado","9"
"540001000","ESC. Nº 227","Estatal","Rural Disperso","Común","Primario","Masculino","7mo Año/Grado","9"
"540001100","ESC. Nº 524: ""VIRREY PEDRO DE CEBALLOS""","Estatal","Rural Aglomerado","Común","Primario","Femenino","1er Año/Grado","15"
